"","year","month","modern","Tmp","Rain","Evap","C_inp","FYM","PC","DPM_RPM"
"1",2020,1,100,2.88,54.82,0.57,0,0,0,1.44
"2",2020,2,100,3.05,46.74,0.83,0,0,0,1.44
"3",2020,3,100,6,48.39,1.73,0,0,0,1.44
"4",2020,4,100,9.8,36.47,3.03,0,0,1,1.44
"5",2020,5,100,13.16,62.3,3.82,0,0,1,1.44
"6",2020,6,100,16.29,86.5,4.44,0,0,1,1.44
"7",2020,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"8",2020,8,100,17.18,106.22,3.49,0,0,1,1.44
"9",2020,9,100,14.43,45.91,2.34,0,0,1,1.44
"10",2020,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"11",2020,11,100,6.75,54.73,0.69,0,0,1,1.44
"12",2020,12,100,3.83,67.75,0.5,0,0,1,1.44
"13",2021,1,100,2.88,54.82,0.57,0,0,1,1.44
"14",2021,2,100,3.05,46.74,0.83,0,0,1,1.44
"15",2021,3,100,6,48.39,1.73,0,0,1,1.44
"16",2021,4,100,9.8,36.47,3.03,0,0,1,1.44
"17",2021,5,100,13.16,62.3,3.82,0,0,1,1.44
"18",2021,6,100,16.29,56.5,4.44,0,0,1,1.44
"19",2021,7,100,18.28,66.59,4.65,0,0,1,1.44
"20",2021,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"21",2021,9,100,14.43,45.91,2.34,0,0,0,1.44
"22",2021,10,100,11.08,58.98,1.25,0,0,1,1.44
"23",2021,11,100,6.75,54.73,0.69,0,0,1,1.44
"24",2021,12,100,3.83,67.75,0.5,0,0,1,1.44
"25",2022,1,100,2.88,54.82,0.57,0,0,1,1.44
"26",2022,2,100,3.05,46.74,0.83,0,0,1,1.44
"27",2022,3,100,6,48.39,1.73,0,0,1,1.44
"28",2022,4,100,9.8,36.47,3.03,0,0,1,1.44
"29",2022,5,100,13.16,62.3,3.82,0,0,1,1.44
"30",2022,6,100,16.29,56.5,4.44,0,0,1,1.44
"31",2022,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"32",2022,8,100,17.18,76.22,3.49,0,0,1,1.44
"33",2022,9,100,14.43,45.91,2.34,0,0,1,1.44
"34",2022,10,100,11.08,58.98,1.25,0,0,1,1.44
"35",2022,11,100,6.75,54.73,0.69,0,0,1,1.44
"36",2022,12,100,3.83,67.75,0.5,0,0,1,1.44
"37",2023,1,100,2.88,54.82,0.57,0,0,1,1.44
"38",2023,2,100,3.05,46.74,0.83,0,0,1,1.44
"39",2023,3,100,6,48.39,1.73,1.12,0,1,1.44
"40",2023,4,100,9.8,36.47,3.03,0,0,1,1.44
"41",2023,5,100,13.16,62.3,3.82,0,0,1,1.44
"42",2023,6,100,16.29,86.5,4.44,0,0,1,1.44
"43",2023,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"44",2023,8,100,17.18,106.22,3.49,0,0,1,1.44
"45",2023,9,100,14.43,45.91,2.34,0,0,1,1.44
"46",2023,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"47",2023,11,100,6.75,54.73,0.69,0,0,1,1.44
"48",2023,12,100,3.83,67.75,0.5,0,0,1,1.44
"49",2024,1,100,2.88,54.82,0.57,0,0,1,1.44
"50",2024,2,100,3.05,46.74,0.83,0,0,1,1.44
"51",2024,3,100,6,48.39,1.73,0,0,1,1.44
"52",2024,4,100,9.8,36.47,3.03,0,0,1,1.44
"53",2024,5,100,13.16,62.3,3.82,0,0,1,1.44
"54",2024,6,100,16.29,56.5,4.44,0,0,1,1.44
"55",2024,7,100,18.28,66.59,4.65,0,0,1,1.44
"56",2024,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"57",2024,9,100,14.43,45.91,2.34,0,0,0,1.44
"58",2024,10,100,11.08,58.98,1.25,0,0,1,1.44
"59",2024,11,100,6.75,54.73,0.69,0,0,1,1.44
"60",2024,12,100,3.83,67.75,0.5,0,0,1,1.44
"61",2025,1,100,2.88,54.82,0.57,0,0,1,1.44
"62",2025,2,100,3.05,46.74,0.83,0,0,1,1.44
"63",2025,3,100,6,48.39,1.73,0,0,1,1.44
"64",2025,4,100,9.8,36.47,3.03,0,0,1,1.44
"65",2025,5,100,13.16,62.3,3.82,0,0,1,1.44
"66",2025,6,100,16.29,56.5,4.44,0,0,1,1.44
"67",2025,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"68",2025,8,100,17.18,76.22,3.49,0,0,1,1.44
"69",2025,9,100,14.43,45.91,2.34,0,0,1,1.44
"70",2025,10,100,11.08,58.98,1.25,0,0,1,1.44
"71",2025,11,100,6.75,54.73,0.69,0,0,1,1.44
"72",2025,12,100,3.83,67.75,0.5,0,0,1,1.44
"73",2026,1,100,2.88,54.82,0.57,0,0,1,1.44
"74",2026,2,100,3.05,46.74,0.83,0,0,1,1.44
"75",2026,3,100,6,48.39,1.73,1.12,0,1,1.44
"76",2026,4,100,9.8,36.47,3.03,0,0,1,1.44
"77",2026,5,100,13.16,62.3,3.82,0,0,1,1.44
"78",2026,6,100,16.29,86.5,4.44,0,0,1,1.44
"79",2026,7,100,18.28,96.59,4.65,0,2.784,1,1.44
