"","year","month","rotation.cycle","prevcrop.id","crop.id","nextcrop.id","active","sowing","harvest","cover.id","cover.active","covercrop.sowing","covercrop.harvest","irrigation","eom_app_id","eom_app_q","Culture.x","Coefficient d'humification (hc).x","C_inp_crop","C_hum_crop","Culture.y","Coefficient d'humification (hc).y","C_inp_covercrop","C_hum_covercrop","C_inp","C_hum_inp","PC","Catégorie","Matière organique exogène","Apport de carbone organique (t CO / 10t MF)","Coefficient d'humification (hc)","Apport C humifié (t C/ 10t MF)","FYM","temp","precip","ep_api","Tmp","Rain","Evap","modern","DPM_RPM"
"1",2017,1,NA,NA,NA,NA,0,FALSE,FALSE,NA,0,FALSE,FALSE,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,3.38,59.58,0.57,3.38,59.58,0.57,100,1.44
"2",2017,2,NA,NA,NA,NA,0,FALSE,FALSE,NA,0,FALSE,FALSE,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,4.29,52.92,0.83,4.29,52.92,0.83,100,1.44
"3",2017,3,NA,NA,NA,NA,0,FALSE,FALSE,NA,0,FALSE,FALSE,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,6.83,53.3,1.73,6.83,53.3,1.73,100,1.44
"4",2017,4,NA,7,15,8,1,TRUE,FALSE,NA,0,FALSE,FALSE,0,NA,0,"betterave avec feuilles et collet",0.22,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,9.91,45.03,3.03,9.91,45.03,3.03,100,1.44
"5",2017,5,NA,7,15,8,1,FALSE,FALSE,NA,0,FALSE,FALSE,0,NA,0,"betterave avec feuilles et collet",0.22,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,13.7,60.12,3.82,13.7,60.12,3.82,100,1.44
"6",2017,6,NA,7,15,8,1,FALSE,FALSE,NA,0,FALSE,FALSE,30,NA,0,"betterave avec feuilles et collet",0.22,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,16.9,59.57,4.44,16.9,89.57,4.44,100,1.44
"7",2017,7,NA,7,15,8,1,FALSE,FALSE,NA,0,FALSE,FALSE,30,6,30,"betterave avec feuilles et collet",0.22,0,0,NA,NA,0,0,0,0,1,"Fumier Solide","Bovins",0.928,0.5,0.46,2.784,18.5,73.2,4.65,18.5,103.2,4.65,100,1.44
"8",2017,8,NA,7,15,8,1,FALSE,FALSE,NA,0,FALSE,FALSE,30,NA,0,"betterave avec feuilles et collet",0.22,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,18.4,75.96,3.49,18.4,105.96,3.49,100,1.44
"9",2017,9,NA,7,15,8,1,FALSE,FALSE,NA,0,FALSE,FALSE,0,NA,0,"betterave avec feuilles et collet",0.22,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,15.3,55.74,2.34,15.3,55.74,2.34,100,1.44
"10",2017,10,0,7,15,8,1,TRUE,TRUE,NA,0,FALSE,FALSE,0,NA,0,"betterave avec feuilles et collet",0.22,2.3,0.51,NA,NA,0,0,2.3,0.51,1,NA,NA,NA,NA,NA,0,11.5,65.84,1.25,11.5,65.84,1.25,100,1.44
