"year","modern"
1,100
1939,97.5
1940,97.5
1941,97.5
1942,97.5
1943,97.5
1944,97.5
1945,95
1946,95
1947,95
1948,95
1949,95
1950,96.5
1951,96.5
1952,96.5
1953,96.5
1954,97
1955,99
1956,101.5
1957,107.5
1958,115
1959,124
1960,120
1961,125
1962,135
1963,194
1964,196
1965,181
1966,174
1967,167
1968,161
1969,156
1970,151
1971,149
1972,146
1973,143.5
1974,141.5
1975,140.5
1976,138
1977,134.8
1978,132.4
1979,130.3
1980,128.3
1981,126.4
1982,124.7
1983,123.2
1984,121.7
1985,120.4
1986,119.1
1987,118
1988,116.9
1989,115.9
1990,115
1991,114.2
1992,113.4
1993,112.7
1994,112
1995,111.4
1996,110.8
1997,110.3
1998,109.8
1999,109.4
2000,109
2001,108.6
2002,108.2
2003,107.9
2004,107.6
2005,107.3
2006,107.1
2007,106.8
