"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1939,1,0,0,3.99,0.405041364799995,114.5,8.2,0,1,1,0.6,0.0733227269702382,4.27128585462573,0.568246599286537,20.8061478492931,3.0041,28.7231030301757,0.0469114051095953
1939,2,0,0,5.37,0.533478324308255,30.7,17.2,0,1,1,0.6,0.0561558832369804,4.23724266974161,0.564907350502441,20.8027720851364,3.0041,28.6651779886174,0.104836446667807
1939,3,0,0,5.46,0.542529809884423,51.6,43.1,0,1,1,0.6,0.0428140597683261,4.20290014121294,0.561166299951234,20.7988644368482,3.0041,28.6098449377807,0.160169497504595
1939,4,0,0,8.3,0.868754071811216,90.3,68.2,0,1,1,0.6,0.0277292971191379,4.14848615486211,0.554724729459982,20.7918591178533,3.0041,28.5268992992946,0.243115135990699
1939,5,0,0,10.53,1.17567220836429,40.4,99.3,0,0.357778917451101,1,0.6,0.022469844076893,4.12239384423442,0.551425611922936,20.788219105374,3.0041,28.4886084056083,0.281406029676987
1939,6,0,0,13.55,1.65060319843175,74.9,112.5,0,1,1,0.6,0.00984410252835718,4.0215804687853,0.538307637727331,20.7728516199614,3.0041,28.3466838290024,0.423330606282837
1939,7,0,0,15.56,1.99702879506593,59.8,128.9,0,0.252511242922731,1,0.6,0.00765023553452982,3.9912756574799,0.534146028972268,20.7679225838949,3.0041,28.3050945058816,0.464919929403696
1939,8,1.4643,0,16.06,2.08626628613496,96.4,104.4,0,1,1,0.6,0.866872601951227,4.46842977884177,0.517436371849106,20.7467418800619,3.0041,29.603580632704,0.630733802581247
1939,9,0,0,14.07,1.73818179683956,25.2,64.2,0,0.838848920863309,0,1,0.257194366164678,4.30848041015591,0.555865282990689,20.7883080425253,3.0041,28.9139481018366,1.3203663334487
1939,10,0,0,7.91,0.819458158616149,103.6,27.7,0,1,0,1,0.129924081159402,4.22111290537402,0.555729331625844,20.7885329961549,3.0041,28.6993993143142,1.5349151209711
1939,11,0,0,8.47,0.890667837689756,105.4,12.9,0,1,1,0.6,0.0832307083054589,4.16509380413647,0.55213787389996,20.7847051679742,3.0041,28.5892675543161,1.64504688096913
1939,12,0,0,2.36,0.278714613274341,58,3.6,0,1,1,0.6,0.0724038202079494,4.14771706544574,0.550639033023254,20.7830876552811,3.0041,28.5579475739581,1.6763668613272
1940,1,0,0,-2.6,0.055013765558561,56.1,2.4,0,1,1,0.6,0.0704393587802385,4.14429575427035,0.550325811736469,20.7827490855684,3.0041,28.5519100103555,1.68240442492978
1940,2,0,0,1.61,0.229811908733405,52.9,18.2,0,1,1,0.6,0.0627931647604767,4.13003422165345,0.548976616105427,20.7812705346674,3.0041,28.5271745371867,1.70713989809851
1940,3,0,0,5.97,0.595357786022696,79.1,47.1,0,1,1,0.6,0.0466264199944599,4.09331570015919,0.545211274518017,20.777019575249,3.0041,28.4662729699207,1.76804146536455
1940,4,0.0571,0,8.52,0.897161684497962,69.7,78.9,0,1,1,0.6,0.0634709006174999,4.06200084669984,0.538968964862989,20.7697308645757,3.0041,28.438271576756,1.85314285852924
1940,5,0.0571,0,12.14,1.42125696671295,45.8,105.3,0,0.391614955692362,1,0.6,0.0817506029821874,4.05163089741477,0.535585186085194,20.7657166684726,3.0041,28.4387833549547,1.90973108033052
1940,6,0.0571,0,15.66,2.01478700835641,35.4,120.3,0,0.2,1,0.6,0.100531194529725,4.05061687973163,0.533498415154657,20.7632062271746,3.0041,28.4519527165906,1.95366171869465
1940,7,0.0571,0,14.77,1.85839674590368,82.2,124.7,0,1,1,0.6,0.073395125714845,3.96266300194643,0.523844828179454,20.7505772762197,3.0041,28.3145802320605,2.14813420322481
1940,8,0.0571,0,15.47,1.98108555009598,6,111.3,0,0.2,1,0.6,0.093902973292411,3.96258336479555,0.521747867583392,20.7478837341986,3.0041,28.33021793987,2.18959649541529
1940,9,0.2854,0,12.62,1.49793258821641,29.7,62.9,0,0.981865845012148,1,0.6,0.213442469098386,3.99308717984679,0.514383645685926,20.7377632519103,3.0041,28.4627765465414,2.34243788874389
1940,10,0,0,8.8,0.933931573097658,81.4,28.1,0,1,1,0.6,0.133807412261289,3.93753812803767,0.51426754528616,20.7365947361034,3.0041,28.3263078216885,2.47890661359671
1940,11,0,0,6.39,0.640802953040597,189.3,6,0,1,1,0.6,0.0971251222822037,3.89987165305273,0.512467063115359,20.7338295319936,3.0041,28.2473933704439,2.55782106484139
1940,12,0,0,3.03,0.32730150318638,46.2,3,0,1,1,0.6,0.0824629676926453,3.88077206852276,0.511155509553361,20.7319675764192,3.0041,28.210458122188,2.59475631309726
1941,1,0,0,-0.03,0.142509347318336,74.8,4,0,1,0,1,0.0732290006815128,3.86697051139326,0.510074276971536,20.7304595559451,3.0041,28.1848333449915,2.62038109029379
1941,2,0,0,3.28,0.346623995567065,55.9,16.1,0,1,0,1,0.0548574606734185,3.83360566415411,0.507121057050257,20.7263273292592,3.0041,28.126011511137,2.67920292414823
1941,3,0,0,4.5,0.450228189634225,88.3,43,0,1,0,1,0.0376957757465542,3.79069766360158,0.502733276339684,20.7201901831504,3.0041,28.0554168988382,2.74979753644707
1941,4,0,0,6.18,0.617863160403413,45.6,73.9,0,1,0,1,0.0225258169631316,3.73259425733456,0.496080623577289,20.7107727947004,3.0041,27.9660734925754,2.83914094270989
1941,5,0,0,8.42,0.884196039161518,58.6,104.3,0,0.901035309213578,1,0.6,0.0151245030357177,3.68825381608943,0.490594367376759,20.7029499724749,3.0041,27.9010226589768,2.90419177630845
1941,6,0,0,15.01,1.90019312955513,40.9,120.8,0,0.2,1,0.6,0.0125071043802578,3.66728844655722,0.487900865540942,20.6990992172794,3.0041,27.8708956337579,2.93431880152738
1941,7,0,0,17.53,2.35457419403648,67.8,134.9,0,0.384095836083192,1,0.6,0.00795742743800238,3.61787491690112,0.481479430534511,20.6896906165361,3.0041,27.8011023914097,3.00411204387552
1941,8,0,0,14.5,1.81172378794139,105,102.9,0,1,1,0.6,0.00321633935784955,3.5208799955922,0.468756644589561,20.6701072074651,3.0041,27.6670601870047,3.13815424828054
